h	w	p
138	394	2
136	393	2
134	392	2
138	297	2
138	301	2
132	392	2
132	391	2
132	390	2
130	390	2
132	390	2
132	392	2
130	392	2
130	392	2
130	392	2
130	393	2
128	393	2
128	393	2
128	393	2
128	393	2
128	393	2
126	393	2
126	393	2
126	393	2
126	393	2
124	392	2
124	392	2
124	392	2
122	390	2
122	388	2
122	388	2
132	290	2
122	385	2
122	384	2
120	383	2
120	383	2
120	381	2
120	381	2
120	381	2
120	381	2
120	381	2
120	381	2
120	381	2
120	380	2
120	380	2
120	380	2
120	380	2
120	379	2
120	379	2
122	379	2
122	379	2
120	376	2
120	376	2
120	375	2
120	374	2
120	374	2
120	372	2
120	370	2
120	367	3
120	365	3
126	283	3
120	351	4
202	460	5
198	456	4
196	456	4
196	457	4
233	270	3
237	279	4
243	292	4
249	305	3
249	306	4
253	309	3
255	313	2
261	315	2
265	319	2
249	328	2
245	333	2
243	336	2
245	340	2
243	342	2
235	348	2
237	350	2
235	351	2
233	353	2
229	354	1
221	357	2
223	359	2
223	360	2
225	361	2
225	363	2
220	365	1
221	366	2
223	367	1
220	369	1
219	370	1
218	372	1
216	374	2
213	374	1
210	376	1
212	379	1
211	380	1
210	381	1
206	383	1
202	384	1
200	385	2
198	388	2
196	388	2
194	390	2
194	392	2
192	393	2
190	394	2
188	394	2
186	397	2
184	397	2
182	398	2
182	398	2
180	399	2
180	401	2
178	401	2
178	401	2
176	402	2
174	402	2
172	403	2
172	404	2
170	404	2
168	403	2
168	406	2
168	406	2
166	407	2
164	408	2
164	407	3
164	408	3
162	410	3
160	410	3
160	410	3
160	410	3
160	410	3
158	410	3
158	410	3
158	410	3
156	410	3
156	410	2
156	411	2
154	411	2
154	411	2
154	412	2
152	412	2
152	413	2
152	413	2
152	415	2
152	415	2
150	415	2
150	415	2
150	415	2
128	335	2
126	335	2
126	336	3
158	415	4
160	415	3
108	518	4
104	520	3
102	521	3
102	521	2
100	521	1
100	522	1
98	523	1
98	523	1
98	523	1
96	523	1
96	523	1
96	523	1
96	523	1
96	523	1
96	521	1
96	521	1
98	521	1
98	520	1
98	519	1
98	518	1
98	518	1
98	518	1
98	518	2
98	516	2
98	516	2
98	515	2
98	514	2
98	514	2
98	514	2
98	514	2
98	513	2
98	512	2
98	512	2
98	512	2
96	512	2
96	511	2
96	511	3
96	511	3
96	511	3
96	511	3
96	511	3
96	511	2
98	512	2
98	512	2
98	512	2
98	511	2
98	511	2
98	511	2
98	511	2
98	511	2
98	511	2
100	511	2
100	511	2
98	511	2
98	511	2
98	512	2
98	511	2
98	512	2
98	512	3
98	512	3
98	513	3
100	514	4
94	296	5
96	296	5
239	261	3
100	292	3
104	288	3
110	287	3
114	282	2
118	274	2
122	272	1
124	270	1
124	267	1
124	263	1
124	261	1
124	259	1
124	258	1
126	256	1
126	256	1
126	255	1
124	255	1
126	255	1
126	255	1
128	255	1
128	256	1
130	256	1
132	256	1
132	258	1
130	259	1
132	260	1
132	261	1
132	261	1
132	263	1
132	263	1
130	264	1
130	265	1
132	265	1
132	267	1
134	269	1
136	270	1
136	270	1
138	273	1
138	274	1
140	274	1
142	278	1
144	282	1
144	283	1
146	283	1
146	286	1
146	288	1
146	288	1
146	288	1
148	291	1
148	292	1
148	292	1
148	294	1
150	295	1
150	296	1
150	296	1
150	297	1
148	297	1
148	297	1
148	297	1
148	299	1
148	300	1
150	301	1
150	301	1
148	301	1
148	303	1
148	304	1
146	306	1
146	306	1
146	306	1
146	309	1
146	310	1
146	310	1
146	310	1
146	310	1
144	312	1
144	313	1
142	315	2
142	315	3
142	315	4
219	333	5
221	333	5
110	164	3
110	164	3
111	165	3
112	165	3
112	165	3
112	165	3
112	165	3
112	165	3
111	165	3
111	165	3
110	164	3
111	165	3
111	165	3
111	165	3
111	165	3
111	165	3
110	165	3
110	165	3
132	492	3
134	493	3
136	493	3
136	493	3
136	493	3
136	494	3
138	495	3
140	496	3
140	496	3
140	497	3
140	497	3
140	500	3
142	502	3
141	503	3
140	505	3
140	505	3
110	166	3
110	166	3
110	166	3
110	166	3
110	166	3
110	166	3
110	166	3
110	166	3
110	166	3
110	166	3
110	165	3
110	165	3
132	528	4
132	529	4
120	365	4
120	363	4
122	362	2
122	362	1
124	361	1
124	361	1
126	359	1
128	358	1
128	358	1
128	357	1
128	356	1
128	356	1
128	355	1
128	354	1
128	352	1
128	351	1
128	351	1
128	351	1
128	351	1
130	352	1
130	352	1
130	352	1
130	351	1
128	349	1
130	346	1
130	344	1
130	342	1
130	341	1
128	340	1
128	339	1
130	337	1
130	337	1
132	337	1
132	337	1
134	336	1
134	333	1
134	333	1
136	331	1
136	331	1
134	331	1
136	331	1
136	331	1
136	328	1
136	328	1
138	328	1
138	328	1
138	327	1
136	324	1
136	324	1
136	323	1
136	322	1
134	319	1
134	319	1
134	318	1
132	315	1
132	315	1
132	314	1
130	313	1
128	312	1
126	310	1
124	310	1
120	309	1
118	308	1
114	308	1
110	306	1
106	306	2
102	306	2
98	522	2
98	522	1
96	521	1
96	521	1
96	521	1
96	521	1
96	521	1
96	521	1
96	521	1
96	521	1
96	521	1
96	521	1
98	521	1
98	521	1
98	520	1
98	520	1
98	520	1
98	520	1
98	521	1
98	521	1
96	521	1
96	521	1
96	521	2
96	521	2
96	521	2
96	522	1
96	522	2
96	522	2
96	522	2
96	522	2
96	523	2
96	523	2
96	523	2
96	523	2
96	523	2
96	523	2
96	522	2
98	523	2
98	522	2
98	522	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	2
98	521	1
98	521	1
98	521	1
98	521	1
98	522	1
96	522	1
96	522	1
96	523	1
96	523	1
96	523	1
96	523	1
96	523	1
96	524	1
96	524	1
98	525	1
