h	w	p
191	395	2
190	395	2
188	397	2
188	397	2
188	397	1
190	397	1
188	397	2
188	397	2
186	397	2
184	397	2
184	397	2
182	398	2
182	399	2
180	398	2
180	398	2
182	399	2
182	398	2
182	398	2
180	397	2
178	397	2
176	397	2
176	395	2
176	395	2
172	291	2
172	395	2
170	395	2
170	395	2
172	395	2
175	291	3
172	397	3
172	397	2
172	395	2
172	394	2
170	393	3
170	392	3
170	390	2
168	388	2
168	386	2
166	384	2
166	383	2
166	381	2
164	379	2
164	377	2
162	375	2
160	374	2
160	372	2
160	371	2
160	370	2
162	370	2
166	371	2
166	371	2
166	371	2
168	371	2
170	372	2
172	372	2
174	373	2
174	374	2
176	374	2
176	374	2
178	374	2
180	374	2
180	374	2
180	374	2
180	374	1
180	375	2
180	375	1
180	375	1
180	375	1
180	374	1
180	374	1
178	374	1
178	374	1
178	374	1
176	372	1
174	372	1
174	372	1
176	372	1
176	373	1
176	373	1
176	374	2
176	374	2
178	374	2
180	374	2
180	374	2
180	373	2
180	373	2
178	373	2
178	373	2
176	374	2
178	375	2
178	374	2
178	374	2
176	374	2
174	374	2
176	373	1
176	373	1
176	372	1
174	372	1
174	372	1
172	372	1
174	374	1
174	374	1
174	373	1
174	374	1
178	372	1
180	372	1
180	372	1
180	371	1
180	371	1
184	371	1
182	371	1
184	371	1
184	371	1
184	371	1
182	372	2
178	372	1
174	372	1
168	372	1
164	372	1
162	372	1
160	373	1
160	373	1
160	374	1
160	374	1
160	374	1
160	374	2
160	374	2
160	374	3
160	374	3
160	374	3
161	373	3
162	372	3
162	372	3
162	371	3
162	371	3
162	371	3
162	370	3
162	370	3
162	370	3
162	369	3
162	369	3
162	368	3
162	368	3
162	367	3
162	367	3
162	367	3
162	366	3
162	366	3
161	366	3
161	366	3
161	365	3
161	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
161	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	365	3
160	366	3
160	366	3
160	366	3
160	366	3
160	365	3
160	365	3
160	365	3
160	366	3
160	366	2
160	366	2
160	366	2
160	366	2
160	366	2
160	365	2
160	365	3
160	365	3
160	365	3
160	365	3
161	365	3
161	365	3
162	366	3
162	366	3
196	518	3
196	516	3
196	515	3
197	514	3
197	514	2
198	514	2
198	514	2
198	514	2
198	514	2
198	514	2
198	514	2
197	515	2
196	515	2
195	516	3
194	518	3
192	518	3
192	518	3
190	519	3
190	520	3
190	521	3
189	523	3
189	523	3
188	524	3
187	527	3
187	527	3
188	527	3
187	527	3
186	528	3
186	528	3
186	529	3
186	530	3
186	532	3
186	532	3
186	533	3
186	533	3
186	533	3
185	533	3
185	534	3
185	536	3
186	534	3
187	533	3
187	533	3
187	533	3
188	532	3
188	532	3
188	532	3
188	532	3
189	530	3
189	529	3
190	528	3
190	528	3
190	527	3
190	527	3
190	527	3
190	525	3
190	524	3
190	524	3
190	524	3
190	524	3
190	523	3
189	524	3
189	523	3
188	524	3
188	524	3
157	373	3
157	373	3
156	374	3
157	374	3
157	374	3
157	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	3
158	374	1
158	374	1
158	374	1
158	374	1
156	375	2
156	376	2
156	376	2
154	377	2
154	377	3
239	375	3
237	374	3
237	371	3
239	370	3
239	370	3
239	370	3
166	394	3
168	397	2
243	370	3
245	370	3
170	401	3
172	401	3
174	401	3
174	402	3
174	402	3
174	402	3
176	403	3
178	403	3
178	406	3
182	403	3
182	406	3
182	406	3
182	407	3
180	410	3
178	410	3
178	407	3
176	410	3
174	410	3
172	410	3
170	411	3
170	411	3
168	411	3
168	410	3
166	410	3
166	410	3
166	410	3
166	410	3
166	408	3
166	407	3
166	407	3
166	406	3
166	406	3
166	404	3
168	402	3
170	401	3
172	399	3
174	397	3
174	397	3
174	397	3
176	393	3
178	389	3
180	388	2
182	384	2
184	383	2
188	379	1
188	377	1
190	376	1
190	376	1
190	376	1
192	375	1
192	374	1
192	374	1
192	374	1
194	373	1
196	372	1
196	372	1
196	371	1
194	371	1
194	370	1
196	370	1
196	370	1
194	370	1
194	370	1
194	368	1
194	367	1
194	367	1
194	366	1
196	366	1
196	365	1
194	365	1
192	363	1
192	363	1
192	362	1
190	361	1
190	361	1
188	360	1
188	360	1
188	359	1
188	359	1
186	358	1
184	358	1
184	358	1
184	358	1
182	358	1
180	358	1
180	359	1
180	360	1
182	361	1
184	361	1
184	362	1
186	362	1
188	361	1
192	361	1
192	361	1
196	359	1
200	357	2
204	355	2
207	353	2
211	349	3
269	327	3
214	345	3
216	342	3
216	340	3
217	337	2
219	336	2
221	333	2
223	333	2
223	332	2
223	332	2
224	331	2
225	331	2
225	332	2
227	332	2
227	332	2
229	331	2
231	332	2
231	332	2
233	333	2
233	333	2
233	336	2
233	337	1
233	337	1
233	341	1
231	342	1
233	342	2
233	346	2
235	350	1
235	351	1
235	351	1
235	354	1
235	355	1
237	357	1
237	358	1
237	360	1
241	362	1
243	366	1
243	367	1
243	367	1
245	366	1
247	368	1
247	367	1
245	367	1
243	366	1
243	367	1
241	367	1
241	367	1
241	367	1
243	368	2
237	368	2
227	370	2
219	374	2
214	375	2
210	379	3
207	380	3
205	383	3
205	384	3
204	385	3
204	388	3
203	389	3
202	392	3
202	397	3
203	397	3
204	397	3
205	399	3
206	401	3
208	401	2
211	401	2
213	402	2
215	402	2
217	403	2
219	406	2
221	406	2
221	406	2
223	407	2
223	406	3
225	406	3
229	406	2
229	406	2
235	406	3
235	406	3
233	406	3
235	406	3
233	406	3
233	406	3
231	406	2
229	403	2
229	403	2
229	403	2
229	402	2
227	402	2
227	402	2
227	402	2
225	403	2
227	403	2
225	404	1
224	404	1
223	406	1
223	404	1
223	403	2
223	404	2
225	406	2
267	398	2
267	398	2
267	398	1
267	397	1
265	397	1
265	397	1
263	397	1
263	397	1
259	397	1
259	397	2
259	397	2
259	397	2
257	397	2
198	406	2
196	404	2
196	403	2
196	403	2
196	403	1
196	403	1
196	402	1
196	402	1
196	402	1
196	401	1
196	401	1
196	401	1
195	401	1
195	401	1
195	401	1
195	401	1
196	402	1
195	402	1
194	402	1
193	403	2
192	403	2
192	403	2
192	403	2
192	404	2
192	404	1
189	403	1
190	401	1
189	401	1
189	399	1
188	398	1
188	397	1
188	397	1
188	395	1
190	394	1
188	394	1
192	392	1
197	392	1
198	393	1
199	393	1
201	392	1
203	389	1
204	392	1
204	394	1
206	393	1
207	392	1
206	392	1
205	392	1
205	392	1
203	392	1
200	392	1
200	390	1
196	392	1
190	390	1
188	389	1
188	388	1
184	388	1
186	388	1
184	388	1
182	388	1
176	388	1
176	389	1
182	390	1
180	389	1
180	388	1
180	385	1
184	385	1
186	383	1
186	379	1
188	372	1
188	366	1
174	361	1
170	356	1
172	352	1
174	350	1
176	348	1
176	346	1
176	345	1
178	345	1
178	344	1
176	344	1
172	342	1
172	344	1
172	345	1
172	346	1
170	347	1
172	348	1
176	349	1
178	350	1
178	351	1
176	351	1
176	352	1
176	352	1
176	353	1
176	352	1
176	352	1
176	352	1
178	352	1
178	352	1
178	351	1
176	351	1
174	350	1
174	349	1
172	349	1
172	348	1
172	348	1
172	346	1
172	344	1
170	343	1
170	342	1
170	342	1
170	341	1
168	340	1
168	339	1
168	339	1
168	339	1
168	337	1
164	337	1
164	337	1
164	337	1
164	336	1
166	336	1
166	337	1
166	337	1
166	337	1
166	337	1
166	337	1
164	337	1
164	337	1
164	337	1
164	339	1
164	339	1
162	339	1
164	340	1
164	340	1
164	341	1
164	341	1
162	341	1
162	343	1
162	344	1
162	345	1
160	346	1
160	348	1
162	351	1
160	352	1
160	353	1
160	353	1
162	354	1
164	358	1
164	359	1
164	361	1
166	362	1
168	365	1
170	367	1
174	370	1
174	370	1
174	371	1
176	372	1
178	372	1
180	371	1
178	367	1
174	365	1
170	360	1
168	356	1
166	351	1
166	346	1
166	341	1
166	336	1
168	328	1
172	324	1
174	322	1
174	319	1
176	319	1
176	319	1
176	319	1
176	319	1
178	319	1
180	322	1
180	323	1
180	324	1
180	324	1
182	324	1
182	324	1
183	324	1
183	327	1
184	328	1
186	328	1
188	328	1
190	328	1
189	331	1
190	332	1
192	333	1
194	333	1
195	333	1
194	335	1
195	336	1
200	337	1
202	342	1
202	349	1
204	354	1
208	356	1
219	361	2
215	383	2
221	388	3
229	393	3
134	457	4
136	458	3
136	457	2
136	457	2
156	201	2
156	201	2
156	201	2
156	200	2
154	198	2
154	198	2
154	198	2
154	198	2
155	198	2
155	198	2
156	198	2
156	198	2
156	198	2
156	198	2
156	198	2
156	198	2
156	198	1
156	197	1
156	197	1
157	197	1
157	197	1
157	197	1
157	197	1
157	197	1
157	197	1
157	197	1
157	197	1
157	197	1
157	197	1
156	197	1
156	197	1
156	197	1
156	197	1
156	198	1
156	198	1
156	198	1
156	198	1
156	198	1
156	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
154	198	1
154	198	1
154	198	1
154	198	1
154	198	1
154	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	1
155	198	2
155	198	2
154	198	2
154	198	2
154	198	2
154	198	2
156	201	2
156	201	2
156	201	2
156	202	2
156	202	2
156	202	2
156	202	2
156	202	2
156	202	2
156	202	2
156	202	2
156	202	2
156	202	2
155	202	2
155	202	2
155	202	2
155	202	2
155	202	2
156	202	2
156	202	2
156	202	2
157	204	2
158	205	2
158	205	2
159	206	2
160	207	2
160	207	2
161	207	2
162	207	2
163	207	2
164	209	2
165	210	1
165	210	1
164	210	1
164	210	1
165	211	1
164	211	1
164	211	1
163	211	1
163	211	1
162	211	1
161	211	1
160	211	1
160	211	1
159	211	1
158	211	1
158	213	1
157	213	1
156	213	2
156	214	2
155	214	3
182	419	3
182	411	3
231	368	2
231	370	1
231	370	1
225	371	2
223	371	2
223	371	2
221	371	2
227	370	2
229	367	2
231	365	2
233	361	2
235	361	2
237	359	2
239	357	2
241	355	2
243	354	2
245	351	2
249	349	2
247	349	1
247	349	1
251	346	1
253	348	1
251	351	1
245	355	1
243	359	1
243	358	1
247	359	1
247	361	1
241	363	2
235	365	1
227	362	2
227	361	2
227	362	2
225	365	1
225	367	1
235	370	1
229	370	1
225	370	1
221	371	1
218	374	1
217	375	1
215	375	1
214	375	1
214	377	1
212	379	1
212	379	1
213	379	1
210	379	1
210	380	1
208	380	1
208	380	1
207	379	1
208	379	1
208	379	1
208	379	1
208	379	1
208	376	1
209	375	1
210	374	1
210	374	1
208	372	2
208	374	2
210	372	1
210	372	1
212	372	1
214	370	2
219	370	2
217	371	2
215	374	2
215	375	2
215	376	2
213	379	1
211	379	1
209	383	1
209	383	1
210	384	1
214	384	1
211	385	1
207	388	2
205	388	3
203	388	3
200	388	3
197	389	3
197	392	3
196	394	2
194	397	2
214	446	3
219	451	3
221	455	2
223	452	2
225	451	2
229	449	2
231	448	2
231	447	2
229	446	2
235	443	2
231	444	2
231	443	2
229	444	2
230	446	2
231	448	2
231	448	2
231	448	2
231	447	2
229	447	2
226	448	2
225	449	2
223	449	2
221	451	2
222	448	2
225	447	1
223	447	1
223	447	1
223	446	1
223	446	1
224	443	1
223	443	1
223	442	2
223	442	2
223	442	2
225	442	1
231	438	2
233	435	2
237	433	2
237	433	2
239	430	2
241	428	2
241	428	2
243	426	2
243	426	2
241	426	2
212	336	2
215	337	2
221	342	2
220	340	2
221	339	2
223	342	2
220	342	2
219	345	2
221	346	3
275	355	3
275	356	3
273	357	3
273	358	3
212	355	3
217	357	2
217	359	2
214	360	2
212	361	2
210	363	2
212	363	2
212	365	2
212	365	2
213	365	2
212	364	2
212	363	2
210	363	2
212	362	2
213	361	2
216	360	2
249	355	2
249	355	2
239	354	2
231	353	2
237	352	2
243	351	2
239	351	2
233	350	2
231	350	2
235	350	2
237	351	2
237	351	2
235	351	2
233	353	2
233	354	2
231	355	2
227	356	2
229	357	2
231	360	2
233	363	2
231	366	1
233	370	1
233	374	1
233	379	1
231	383	1
231	386	1
229	388	1
229	392	1
227	393	1
225	397	1
223	398	1
221	401	1
219	401	1
217	402	1
215	403	1
215	403	2
215	403	2
213	403	2
213	402	2
211	402	2
211	402	2
210	401	2
208	401	2
207	401	2
207	401	2
204	401	2
202	398	2
200	397	2
194	394	2
190	393	2
186	390	2
182	389	2
180	388	2
178	388	2
178	388	2
178	388	2
178	388	2
178	388	1
178	388	1
176	388	2
176	386	1
176	388	1
176	387	1
178	388	1
178	388	2
178	386	1
180	385	2
180	384	2
180	383	2
180	383	2
180	375	2
180	372	2
180	372	2
180	372	2
182	374	2
186	371	2
186	370	2
186	367	2
188	366	2
190	366	2
190	368	2
188	372	2
186	374	2
184	375	2
182	376	2
184	374	2
180	379	2
178	380	2
176	383	2
178	380	2
186	370	2
190	365	2
194	365	2
200	364	2
198	367	2
196	368	2
198	370	2
202	368	2
