h	w	p
172	362	1
170	362	1
170	363	1
172	364	1
172	364	1
170	365	1
170	365	1
170	365	1
170	365	1
172	366	1
172	366	1
172	366	1
172	366	1
172	367	1
172	367	1
174	367	1
174	368	1
174	368	1
174	368	1
174	367	1
174	368	1
174	368	1
174	368	1
174	368	1
174	369	1
172	370	1
172	371	1
172	372	1
172	374	1
172	374	1
170	375	1
170	376	1
170	377	1
168	379	1
168	380	1
168	381	1
168	383	1
168	384	1
166	386	1
166	388	1
166	392	1
164	392	1
164	394	1
164	397	1
164	398	1
164	401	1
164	401	1
168	406	1
168	406	1
168	407	1
170	408	1
170	410	1
172	410	1
170	410	1
172	407	1
174	404	1
176	402	1
170	398	1
168	393	1
168	389	1
172	386	1
166	383	1
176	380	2
172	376	1
174	372	1
172	367	1
174	365	1
168	360	1
162	356	1
164	352	1
164	348	1
166	345	1
166	345	1
166	344	1
166	341	1
166	340	1
168	337	1
168	337	1
168	336	1
170	336	1
172	335	1
174	336	1
174	335	1
176	335	1
178	335	1
180	335	1
182	336	1
186	333	1
195	332	1
204	332	1
213	332	1
217	333	1
227	336	1
237	337	1
253	336	1
261	335	1
273	331	2
275	330	2
275	331	2
279	330	1
283	328	1
287	330	2
287	330	2
287	332	1
285	333	1
285	336	1
283	336	2
283	337	2
283	339	2
279	342	2
275	346	2
271	354	2
265	360	2
263	365	1
253	370	1
233	379	1
223	383	1
221	383	1
217	383	1
208	384	1
202	384	1
196	385	1
196	386	1
194	383	1
188	375	1
182	365	2
176	355	2
174	351	2
176	346	2
178	336	2
178	330	2
178	324	2
178	319	2
178	318	2
176	315	2
176	313	2
176	310	2
176	309	2
174	308	2
174	306	2
174	305	2
172	303	2
170	303	2
168	301	2
168	301	2
168	301	2
166	301	2
164	300	2
162	300	2
160	299	2
160	299	2
160	299	2
160	301	2
162	305	1
162	306	1
164	310	1
166	315	1
166	319	1
168	323	1
168	326	1
168	328	1
170	333	1
170	336	1
170	337	1
170	340	1
172	342	1
172	344	1
174	346	1
174	346	1
174	346	1
174	346	1
176	347	1
178	348	1
180	348	1
180	348	1
180	348	1
180	348	1
182	348	1
182	348	1
184	349	1
184	349	1
186	349	1
186	349	1
186	349	1
186	349	1
186	349	1
186	348	1
184	348	1
182	347	1
180	346	1
180	346	1
180	346	1
182	346	1
182	345	1
180	344	1
180	343	1
178	342	1
178	341	1
176	340	2
174	337	2
143	565	2
142	568	2
143	568	2
144	568	1
146	569	1
146	572	1
148	572	1
148	572	1
149	572	1
150	572	1
150	572	1
151	572	1
152	573	1
152	573	1
152	573	1
152	573	1
152	573	1
153	573	1
153	573	1
154	574	1
154	574	1
154	574	1
154	574	1
155	574	1
155	574	2
155	574	2
155	574	2
155	574	2
155	574	2
155	575	2
154	577	2
154	577	2
154	577	2
154	577	2
154	577	2
154	577	2
154	577	2
154	577	2
154	577	2
154	577	2
153	577	1
153	577	1
154	577	1
154	577	1
154	577	1
155	577	1
155	577	1
155	577	2
155	577	2
155	577	3
156	577	3
156	577	3
156	577	3
157	577	3
157	577	3
158	577	3
158	577	3
159	577	3
162	274	3
162	274	2
160	277	2
160	278	2
160	279	2
162	282	2
162	283	2
162	283	2
160	285	2
162	286	2
160	288	2
160	291	2
160	291	2
158	291	2
158	292	2
156	295	2
154	296	2
152	296	2
152	297	2
152	297	2
154	297	2
148	297	2
150	300	2
150	300	2
148	297	2
148	297	2
146	297	2
146	299	2
144	297	2
144	297	2
144	297	2
142	297	2
142	297	2
144	297	2
144	296	2
144	294	2
144	294	2
146	294	2
146	292	2
148	291	2
148	288	2
148	288	2
148	287	2
150	286	2
152	283	2
152	283	2
154	282	2
156	281	2
156	279	2
158	279	2
156	278	2
156	277	2
156	276	2
156	276	2
156	274	2
158	274	2
158	274	2
158	274	2
158	276	2
158	276	2
158	276	2
158	276	2
156	276	2
156	277	2
158	276	2
158	274	2
156	274	2
156	274	2
156	274	2
158	274	2
158	274	2
163	572	2
163	572	2
163	572	2
163	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
164	572	2
152	242	2
152	241	2
152	240	2
152	238	2
152	237	2
152	237	2
152	236	1
152	235	1
152	234	1
150	232	1
150	231	1
150	229	1
152	227	1
154	225	1
154	225	1
154	224	1
156	223	1
158	223	1
159	222	1
159	220	1
160	220	1
161	219	1
162	218	1
164	216	1
165	215	1
166	214	1
167	213	1
167	211	1
168	211	1
169	209	1
169	207	1
170	207	1
170	207	1
171	205	1
172	202	1
172	202	1
173	201	1
173	200	1
174	198	1
174	197	1
174	196	1
174	193	1
174	193	1
175	191	1
176	189	1
176	188	1
176	187	1
177	186	1
178	184	1
178	184	1
178	183	1
176	182	1
176	180	1
176	180	1
176	179	1
174	178	1
172	177	1
170	175	2
148	510	2
146	514	2
144	516	1
142	518	1
142	518	1
144	519	1
144	521	1
142	521	1
142	520	1
146	520	1
148	520	1
150	520	1
150	520	1
150	521	1
150	520	1
150	521	1
148	521	1
150	521	1
150	521	1
151	521	1
152	521	1
152	521	1
152	523	1
153	523	1
154	523	1
153	523	1
152	523	1
153	523	1
154	523	1
154	524	1
154	525	1
154	525	1
155	525	1
155	527	1
155	527	1
155	527	1
156	527	1
156	527	1
156	527	1
156	527	1
158	527	1
158	527	1
158	527	1
158	527	1
158	527	1
159	527	1
159	527	1
159	527	1
159	527	1
160	527	1
160	527	1
160	527	1
160	527	1
160	527	1
162	527	1
162	527	1
160	527	1
160	527	1
160	527	1
160	527	1
161	527	1
160	527	1
160	527	1
160	527	1
160	527	1
160	527	1
160	527	1
161	527	1
161	527	1
165	525	1
165	524	1
166	524	1
166	524	1
167	524	1
168	524	1
169	525	1
169	525	1
170	525	1
170	525	1
172	525	1
172	524	1
172	524	1
172	524	1
172	524	1
171	524	1
168	524	1
167	525	1
166	525	1
166	525	1
166	524	1
164	524	1
163	524	1
162	524	1
162	524	1
161	525	1
160	525	1
160	527	1
159	527	1
158	527	1
158	527	1
157	527	1
157	527	1
156	527	1
156	527	1
156	527	1
154	528	1
154	528	1
154	528	1
154	528	1
154	527	1
154	527	1
153	527	1
153	527	1
153	527	1
152	527	1
150	527	2
153	524	2
155	523	2
155	523	2
156	523	1
158	523	2
158	523	1
159	521	1
159	521	1
158	521	2
154	523	2
152	524	1
150	524	1
148	524	1
148	524	1
150	523	1
150	523	1
148	524	1
148	524	1
146	524	1
146	524	1
146	525	1
146	525	1
148	524	1
148	525	1
149	525	1
150	527	1
150	527	1
151	527	1
152	527	1
152	527	1
152	528	1
152	528	1
154	529	1
154	530	1
154	532	1
155	529	1
156	528	1
157	527	1
158	527	1
159	527	1
161	523	1
154	484	1
148	473	2
150	461	2
197	225	2
197	224	2
198	223	2
198	222	2
199	222	2
199	222	2
197	220	2
195	220	2
195	220	2
160	442	2
160	442	2
160	440	2
160	439	2
162	438	2
162	438	2
164	438	2
164	437	2
166	437	2
166	435	2
168	435	2
170	433	2
172	433	2
174	433	2
174	431	2
174	431	2
175	429	2
176	428	2
176	428	2
176	426	2
176	425	2
176	424	2
176	421	1
176	421	1
176	420	1
176	419	1
176	419	1
174	417	2
174	417	2
174	416	2
174	416	1
174	416	2
174	416	2
175	416	2
176	416	1
176	416	1
176	416	2
176	415	2
176	415	2
176	415	2
177	415	2
178	415	2
178	415	2
178	415	2
178	415	2
179	415	2
179	415	2
179	415	2
180	415	2
180	415	2
180	417	2
182	419	2
181	419	2
181	419	2
181	420	2
181	421	2
180	422	2
180	424	2
180	424	2
180	424	2
180	426	2
180	428	2
179	429	2
178	430	2
178	431	2
178	433	2
176	433	2
174	433	2
172	433	2
170	433	2
170	434	2
166	435	2
200	215	2
200	215	2
201	215	2
201	214	3
150	539	3
150	537	1
148	536	1
147	536	1
146	536	1
146	536	1
146	536	1
146	536	1
146	536	1
146	536	1
146	536	1
146	536	1
146	534	1
146	534	1
146	534	1
146	534	1
146	534	1
146	534	1
147	534	1
148	534	1
148	534	1
148	533	1
148	533	1
148	534	1
148	534	1
149	534	1
149	534	1
150	534	1
150	534	1
150	536	1
151	536	1
151	536	1
152	536	1
152	536	1
151	536	1
151	536	1
151	536	1
151	536	1
152	536	1
152	536	1
153	536	1
153	536	1
153	536	1
154	536	1
155	536	1
155	537	1
156	537	1
155	538	1
157	538	1
157	539	1
156	539	1
155	541	1
154	541	1
153	542	1
152	543	2
150	545	2
148	543	2
145	543	2
142	542	2
138	541	2
134	537	2
132	536	1
128	534	1
126	532	1
124	530	2
122	528	2
122	525	2
122	523	3
277	170	3
275	170	3
275	170	3
274	170	3
273	170	3
273	170	3
273	171	3
272	170	3
272	170	3
272	170	3
272	170	3
272	170	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	171	3
273	173	3
273	173	3
273	174	3
273	174	3
273	175	3
273	175	3
273	175	3
273	175	3
273	177	3
106	496	3
106	496	2
106	494	2
106	493	2
106	492	1
106	492	1
106	491	1
108	489	1
108	488	1
108	488	1
108	487	2
110	487	2
110	485	2
112	484	3
112	483	3
197	348	3
198	350	3
198	352	3
198	354	3
197	356	3
198	358	3
198	360	3
112	437	3
112	433	3
112	430	3
112	430	3
114	431	3
114	431	3
116	431	2
116	432	2
116	433	1
116	433	1
116	434	1
116	434	1
114	435	2
114	437	2
114	437	2
116	437	2
116	437	2
116	437	2
116	437	2
118	435	2
120	433	2
120	431	3
120	431	3
122	430	3
126	431	3
130	433	3
134	437	3
146	460	1
146	464	1
146	464	1
150	469	1
152	473	1
156	473	1
160	473	1
164	474	1
166	478	1
170	479	1
174	482	1
174	482	1
174	482	1
174	482	1
172	482	1
174	482	1
172	482	1
