start_time	word
625.2	lost
625.9	him.
626.7	[INAUDIBLE
626.9	DIALOGUE]
640.5	I
640.7	can't
640.9	believe
641.1	this.
643.1	I
643.5	mean,
643.9	all
644.4	I
644.9	asked
645.2	you
645.3	to
645.4	do
645.6	was
645.8	keep
646.0	him
646.2	in
646.4	the
646.6	apartment.
646.9	I
647.1	know,
647.3	I
647.5	know.
647.7	I'm
647.9	sorry.
648.2	You
648.4	know
648.6	what?
648.8	I
649.0	guess
649.2	it's
649.4	partially
649.6	my
649.8	fault.
650.5	I
650.7	shouldn't
650.9	have
651.1	asked
651.3	you
651.5	to
651.7	start
651.9	off
652.1	with
652.3	a
652.5	monkey.
653.0	I
655.0	should
657.0	have
659.0	started
661.0	you
663.0	off
665.0	with,
667.0	like,
669.0	a
671.0	pen
673.0	or
675.0	a
677.0	pencil.
657.0	Ross,
657.2	I'm
657.4	doing
657.6	everything
657.8	that
658.0	I
658.2	can.
658.8	I've
659.0	got
659.2	everybody
659.4	looking
659.6	for
659.8	him
660.0	and
660.2	I
660.4	got...
661.0	[DOOR
661.2	BUZZER]
664.0	Animal
664.2	Control.
666.2	See,
666.5	I've
666.8	even
667.1	got
667.5	Animal
667.8	Control.
668.1	You
668.4	called
668.6	Animal
668.8	Control?
670.0	Uh-huh.
672.6	Why?
673.6	Do
674.0	you
674.1	not
674.2	like
674.3	them?
676.7	Heh.
677.2	Marcel
679.1	is
679.3	an
679.5	illegal
680.2	exotic
681.7	animal.
685.6	I'm
686.0	not
686.1	allowed
686.3	to
686.4	have
686.5	him
686.7	in
686.9	the
687.1	city.
686.7	If
687.6	they
687.7	find
688.0	him,
688.2	they'll
688.7	take
689.0	him
689.2	away
689.4	from
689.4	me.
691.0	Okay,
691.5	well,
691.9	now,
692.1	see,
692.4	you
692.5	never
692.8	ever,
693.0	ever
693.3	told
693.7	us
693.9	that.
695.1	That's
695.9	right,
696.1	because
696.3	I
696.6	didn't
696.8	expect
697.3	you
697.4	we're
697.6	gonna
697.7	invite
698.0	them
698.1	to
698.3	the
698.5	apartment.
700.0	[KNOCKING
700.2	ON
700.4	DOOR]
704.1	Hi.
704.3	Thanks
704.5	for
704.7	coming.
706.1	Somebody
706.7	called
707.0	about
707.0	a
707.2	monkey?
707.3	Oh.
709.3	Oh,
711.3	you
713.3	know
715.3	what?
717.3	That
719.3	was
721.3	a
723.3	complete
725.3	misunderstanding.
711.7	Yeah,
712.3	we
712.9	thought
713.1	we
713.3	had
713.4	a
713.5	monkey,
713.7	but
713.9	we
714.1	didn't.
714.3	It
716.3	turned
718.3	out
720.3	it
722.3	was
724.3	a
726.3	hat.
728.3	Cat.
715.8	Cat.
716.0	What
716.2	did
716.4	I
716.6	say?
717.8	Hi.
718.0	We
718.2	checked
718.4	the
718.6	third
718.8	and
719.0	fourth
719.2	floor.
719.8	No
720.0	one's
720.2	seen
720.4	Marcel.
720.6	Marcel?
721.5	My
723.5	uncle
725.5	Marcel.
722.8	Oh,
723.0	is
723.2	that
723.4	who
723.6	the
723.8	monkey's
724.0	named
724.2	after?
725.5	Okay.
727.1	Are
727.5	you
727.6	aware
727.8	that
728.0	possession
728.5	of
728.7	an
728.9	illegal
729.1	exotic
729.7	is
729.9	punishable...
730.8	...by
730.9	up
731.2	to
731.3	two
731.6	years
731.6	in
731.9	prison
732.0	and
732.2	confiscation
732.8	of
732.8	the
733.0	animal.
734.2	Oh,
734.5	my
734.7	God.
735.5	You'd
736.3	put
736.5	that
736.7	poor
736.9	little
737.0	creature
737.5	in
737.6	jail?
743.6	Pheebs,
743.8	you
744.0	remember
745.3	how
745.4	we
745.5	talked
745.8	about
745.9	saying
746.2	things
746.3	quietly
746.9	to
747.1	yourself
747.2	first?
749.4	Yes,
749.8	but
750.3	there
750.4	isn't
750.8	always
751.3	time.
754.9	Look,
756.9	I'm
758.9	sure
760.9	there's
762.9	some
764.9	friendly
766.9	way
768.9	to
770.9	reconcile
772.9	this.
774.9	Um,
776.9	have
778.9	a
780.9	seat.
759.8	First
760.0	of
760.2	all,
760.4	we
760.6	haven't
760.8	been
761.0	introduced.
761.2	I'm
761.4	Monica
761.6	Geller.
763.3	Oh,
763.4	my
763.7	God,
764.2	you
764.4	are.
765.4	And
765.8	you're
766.3	Rachel
766.8	Green.
767.0	Yeah.
768.8	Luisa
769.0	Gianetti.
769.2	Lincoln
769.4	High?
772.1	I
772.4	sat
772.7	behind
773.0	you
773.1	guys
773.4	in
773.7	homeroom.
774.7	Oh!
774.9	Luisa.
775.1	Oh,
775.3	my
775.5	God.
778.9	Monica.
779.1	It's
779.3	Luisa!
781.3	Luisa.
781.5	From
781.7	homeroom.
783.5	Yes!
785.7	No.
788.7	Not
788.9	at
789.1	all.
790.5	Well,
790.7	maybe
790.9	that's
791.1	because
791.3	you
791.5	spent
791.7	four
791.9	years
792.1	ignoring
792.3	me.
795.3	Would
795.5	it
795.7	have
795.9	been
796.1	so
796.3	hard
796.5	to
796.7	say,
796.9	"""Morning,"
797.1	"Luisa""..."
798.6	...or
798.8	"""Nice"
799.0	"overalls""?"
806.3	Oh,
806.5	I'm
806.7	so
806.9	sorry.
807.9	It's
808.1	not
808.3	so
808.5	much
808.7	you.
808.9	You
809.1	were
809.3	fat.
809.5	You
