h	w	p
237	398	3
237	397	3
237	397	3
239	392	3
239	388	3
239	384	3
239	383	3
239	379	3
239	374	3
239	374	2
239	370	2
239	370	2
237	367	2
237	366	2
235	365	2
210	377	2
208	376	2
206	377	2
206	376	2
204	376	2
205	375	2
205	375	2
206	374	2
206	374	2
205	375	2
204	376	2
204	376	2
204	377	2
204	379	2
203	379	2
204	379	2
204	379	2
204	379	2
204	379	2
204	379	2
204	379	2
204	380	2
202	383	2
201	383	2
200	384	2
200	384	2
199	384	2
199	385	2
198	385	2
198	386	2
198	388	2
198	388	2
198	388	2
198	388	2
198	388	2
197	389	2
197	389	2
197	390	2
198	390	2
198	390	2
198	390	2
198	392	2
199	392	2
198	392	2
198	392	3
225	357	3
225	355	3
227	353	2
227	351	2
227	351	2
229	350	2
229	350	2
231	349	2
231	348	2
233	348	2
233	346	2
235	346	2
235	346	2
235	346	2
237	348	2
237	349	2
237	349	2
237	350	2
237	350	2
237	350	2
237	351	2
237	351	2
237	351	2
237	351	2
237	351	2
237	352	2
237	353	2
237	354	2
237	354	2
239	354	2
239	355	2
239	356	2
241	357	2
241	357	1
241	358	1
241	359	1
241	360	1
241	361	1
241	362	1
241	363	1
241	364	1
239	365	2
239	365	2
239	366	2
241	365	2
241	366	2
241	366	2
241	366	2
241	366	2
241	366	2
243	365	2
243	365	2
243	365	2
243	365	2
245	364	2
245	364	2
245	364	2
245	364	2
245	364	2
245	364	2
245	363	2
245	362	2
243	361	2
243	360	2
245	359	2
243	359	2
243	358	2
243	357	2
243	355	2
243	355	2
241	354	2
241	353	2
241	351	2
239	351	2
239	350	2
237	348	2
237	346	2
235	346	2
233	345	2
233	345	2
231	344	2
231	344	2
229	342	2
229	342	2
227	342	2
227	344	2
227	344	2
227	344	2
227	345	2
227	345	2
227	346	2
227	346	2
227	346	2
227	346	2
227	348	2
227	349	2
227	349	2
227	350	2
227	350	2
227	350	2
227	350	2
227	350	2
227	350	2
227	350	2
227	350	2
227	350	2
227	349	2
227	349	2
227	349	2
227	348	2
227	348	2
